"GSE","suppl_exists","suppl_empty","has_filelist","has_BPM.x","decision","reason","has_RAW_tar","has_CEL","has_GPR","has_IDAT","has_BPM.y","has_TXT","has_CSV","has_XLSX","has_matrix","file_types","inferred_type"
"GSE20194",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE20864",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE22317",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE23558",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE24080",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE24287",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"GPR;TAR","Agilent_microarray"
"GSE26566",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE26886",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE26966",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE27034",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;CHP;TAR","Affymetrix_microarray"
"GSE27984",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE28894",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE29111",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE29221",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE30029",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE30122",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE30186",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE30528",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE30529",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE30759",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"CSV;TAR;TXT","TXT_array"
"GSE31312",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE31348",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE31370",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE32894",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE34198",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE34248",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE34822",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE35452",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE36002",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CSV;TAR","Unknown"
"GSE36238",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE37816",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CSV;TAR","Unknown"
"GSE37837",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE38396",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE38860",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CSV;TAR","Unknown"
"GSE39281",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE39340",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE40355",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE41657",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE41662",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE41664",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE42834",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE43256",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CSV;TAR","Unknown"
"GSE43378",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE43696",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE43974",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE44295",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE44314",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE44711",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE45001",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE45603",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE47472",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE49515",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE51588",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE52093",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE53552",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE54236",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE54388",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE54536",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE54618",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE54837",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE5500",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE55747",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
