"GSE","suppl_exists","suppl_empty","has_filelist","has_BPM","decision","reason"
"GSE5500",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE55747",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE56885",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE57691",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE58121",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE58294",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE58435",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE59444",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE60436",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE61616",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE63881",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE64634",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE66271",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE68004",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE68020",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE6891",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE69223",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE71647",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE73461",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE73463",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE75819",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE76427",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE76826",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE76895",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE7904",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE83456",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE84796",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE85195",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE85446",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE87211",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE90074",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE92324",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE95233",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE98278",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE98770",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE98895",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE102952",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE106099",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE109430",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE113725",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE115797",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE129183",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE2191",TRUE,TRUE,FALSE,FALSE,"skip","suppl_empty"
"GSE21933",TRUE,TRUE,FALSE,FALSE,"skip","suppl_empty"
"GSE39958",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE40360",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE42861",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE44132",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE46394",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE47915",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE52068",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE52793",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE53849",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE56420",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE62336",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE63409",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE63695",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE67530",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE70453",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE73894",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE81211",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE87053",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE97466",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
"GSE98224",TRUE,FALSE,TRUE,TRUE,"skip","methylation_BPM_present"
